date,description,amount
2025-09-17,Whole Foods Market,-176.99
2025-09-17,United Airlines,-481.29
2025-09-17,Safeway,-68.43
2025-09-17,Investment Transfer,-433.71
2025-09-17,Netflix,-14.42
2025-09-18,Employer Inc - Salary,8500.0
2025-09-18,Gas Station (Trip),-50.63
2025-09-18,Movie Theater,-27.69
2025-09-18,Chevron,-55.07
2025-09-18,Shell Gas Station,-40.67
2025-09-19,Rent Payment,-2035.09
2025-09-19,Chipotle,-14.29
2025-09-19,Whole Foods Market,-155.01
2025-09-19,Gas Utility,-53.66
2025-09-19,Best Buy,-572.7
2025-09-19,Enterprise Rent-A-Car,-206.14
2025-09-19,Target,-159.36
2025-09-19,Shell Gas Station,-49.74
2025-09-20,Lyft,-19.79
2025-09-20,Lowes,-178.23
2025-09-20,Employer Inc - Salary,8500.0
2025-09-20,Freelance Client,1250.0
2025-09-20,Gas Utility,-75.89
2025-09-20,Toll Pass,-12.38
2025-09-20,Shell Gas Station,-53.12
2025-09-21,Stock Dividend,125.5
2025-09-21,Rent Payment,-2590.33
2025-09-21,CVS Pharmacy,-41.38
2025-09-21,Gym Membership,-41.71
2025-09-21,Nike Store,-127.32
2025-09-21,Employer Inc - Salary,8500.0
2025-09-21,Water Dept,-50.56
2025-09-21,CVS Pharmacy,-35.66
2025-09-22,Bank Fee,-12.86
2025-09-22,Apple Store,-28.38
2025-09-22,Kroger,-141.3
2025-09-23,Pizza Hut,-26.01
2025-09-23,Gym Membership,-38.37
2025-09-23,Target,-127.21
2025-09-24,Freelance Client,1250.0
2025-09-24,Electric Company,-108.44
2025-09-24,Doctor Office,-125.98
2025-09-24,Walmart,-197.68
2025-09-24,Concert Tickets,-115.44
2025-09-25,Home Depot,-91.89
2025-09-25,CVS Pharmacy,-39.87
2025-09-25,Enterprise Rent-A-Car,-222.72
2025-09-25,Stock Dividend,125.5
2025-09-25,Bowling Alley,-37.78
2025-09-25,Toll Pass,-15.98
2025-09-25,Whole Foods Market,-127.56
2025-09-25,Marriott Hotel,-380.68
2025-09-26,Uber,-22.44
2025-09-26,Investment Transfer,-422.58
2025-09-26,Stock Dividend,125.5
2025-09-26,Lyft,-20.49
2025-09-26,Rent Payment,-2464.14
2025-09-26,Gas Station (Trip),-41.27
2025-09-27,Credit Card Payment,-1407.08
2025-09-27,Gas Station (Trip),-46.57
2025-09-27,Electric Company,-103.46
2025-09-28,Doctor Office,-123.27
2025-09-28,Walgreens,-32.13
2025-09-28,Marriott Hotel,-259.48
2025-09-28,Amazon,-78.35
2025-09-28,Bank Fee,-10.48
2025-09-28,Investment Transfer,-561.7
2025-09-28,Bowling Alley,-51.49
2025-09-29,Amazon,-84.9
2025-09-29,Trader Joes,-79.28
2025-09-29,Credit Card Payment,-1547.39
2025-09-29,Electric Company,-117.78
2025-09-29,Doctor Office,-108.25
2025-09-29,Electric Company,-123.65
2025-09-30,Lowes,-182.16
2025-09-30,Freelance Client,1250.0
2025-09-30,Pizza Hut,-32.28
2025-09-30,Shell Gas Station,-50.99
2025-09-30,Concert Tickets,-119.3
2025-09-30,Uber,-23.38
2025-09-30,Electric Company,-127.47
2025-10-01,Nike Store,-138.24
2025-10-01,McDonalds,-14.32
2025-10-01,Chevron,-58.77
2025-10-02,Bank Fee,-12.26
2025-10-02,United Airlines,-424.23
2025-10-02,Walgreens,-32.78
2025-10-02,Chevron,-45.14
2025-10-03,Enterprise Rent-A-Car,-219.29
2025-10-03,United Airlines,-377.62
2025-10-03,Enterprise Rent-A-Car,-160.82
2025-10-04,Spotify,-9.3
2025-10-04,Walmart,-239.39
2025-10-04,Spotify,-9.26
2025-10-04,Bank Fee,-13.93
2025-10-05,Pizza Hut,-33.26
2025-10-05,McDonalds,-11.41
2025-10-05,Gas Station (Trip),-46.45
2025-10-05,Walgreens,-28.41
2025-10-05,Tax Refund,850.0
2025-10-06,Movie Theater,-37.37
2025-10-06,Movie Theater,-35.22
2025-10-06,Spotify,-10.95
2025-10-06,Nike Store,-127.07
2025-10-06,Bank Fee,-10.1
2025-10-07,United Airlines,-404.49
2025-10-07,CVS Pharmacy,-30.1
2025-10-07,Gas Station (Trip),-39.84
2025-10-07,Kroger,-131.67
2025-10-08,Credit Card Payment,-1492.85
2025-10-08,Best Buy,-475.0
2025-10-08,Movie Theater,-29.88
2025-10-08,Toll Pass,-15.54
2025-10-09,Lyft,-15.41
2025-10-09,Gas Utility,-56.61
2025-10-09,Investment Transfer,-557.86
2025-10-09,Gym Membership,-41.24
2025-10-09,Dentist,-206.2
2025-10-09,Freelance Client,1250.0
2025-10-09,Nike Store,-102.44
2025-10-10,Parking Meter,-9.39
2025-10-10,Bowling Alley,-46.27
2025-10-10,United Airlines,-373.87
2025-10-10,United Airlines,-479.74
2025-10-10,Spotify,-8.05
2025-10-10,Investment Transfer,-528.47
2025-10-10,Shell Gas Station,-49.08
2025-10-10,Enterprise Rent-A-Car,-222.74
2025-10-11,Target,-177.83
2025-10-11,Netflix,-14.98
2025-10-11,Credit Card Payment,-1518.7
2025-10-11,Stock Dividend,125.5
2025-10-11,Walgreens,-33.73
2025-10-12,Rent Payment,-2921.5
2025-10-12,Parking Meter,-7.49
2025-10-12,Doctor Office,-138.27
2025-10-12,Spotify,-9.02
2025-10-12,Movie Theater,-29.62
2025-10-13,Dentist,-252.05
2025-10-13,Lowes,-176.47
2025-10-13,Dentist,-247.06
2025-10-13,Bowling Alley,-49.69
2025-10-14,Uber,-22.44
2025-10-14,Investment Transfer,-407.49
2025-10-14,Tax Refund,850.0
2025-10-15,Gas Station (Trip),-57.55
2025-10-15,Gas Station (Trip),-41.56
2025-10-15,Steam Games,-65.6
2025-10-15,Kroger,-102.23
2025-10-15,Gas Station (Trip),-40.03
2025-10-15,Credit Card Payment,-1216.44
2025-10-15,Credit Card Payment,-1243.43
2025-10-15,United Airlines,-442.85
2025-10-16,Tax Refund,850.0
2025-10-16,Employer Inc - Salary,8500.0
2025-10-16,Movie Theater,-36.45
2025-10-16,Walgreens,-28.78
2025-10-16,Doctor Office,-125.01
2025-10-16,Target,-181.25
2025-10-17,Credit Card Payment,-1746.09
2025-10-17,Enterprise Rent-A-Car,-201.17
2025-10-17,Netflix,-18.66
2025-10-17,Spotify,-11.64
2025-10-17,Walmart,-234.69
2025-10-17,Apple Store,-29.35
2025-10-17,Electric Company,-105.54
2025-10-18,Lyft,-15.63
2025-10-18,Gas Station (Trip),-52.07
2025-10-18,Pizza Hut,-23.91
2025-10-18,Bank Fee,-11.23
2025-10-19,Marriott Hotel,-260.8
2025-10-19,Bank Fee,-11.77
2025-10-19,Pizza Hut,-26.52
2025-10-19,Apple Store,-35.9
2025-10-20,Investment Transfer,-506.44
2025-10-20,Enterprise Rent-A-Car,-214.1
2025-10-20,Marriott Hotel,-314.89
2025-10-21,McDonalds,-13.88
2025-10-21,Target,-128.06
2025-10-21,Shell Gas Station,-50.08
2025-10-22,Walgreens,-25.45
2025-10-22,Rent Payment,-2494.55
2025-10-22,Parking Meter,-9.02
2025-10-23,Stock Dividend,125.5
2025-10-23,Investment Transfer,-478.96
2025-10-23,Whole Foods Market,-181.24
2025-10-23,Tax Refund,850.0
2025-10-23,Parking Meter,-7.21
2025-10-23,Shell Gas Station,-49.88
2025-10-23,Amazon,-88.06
2025-10-24,Local Restaurant,-67.29
2025-10-24,Best Buy,-407.6
2025-10-24,Auto Repair Shop,-334.57
2025-10-24,Bowling Alley,-49.45
2025-10-24,Apple Store,-32.92
2025-10-24,Trader Joes,-91.76
2025-10-24,Hardware Store,-25.19
2025-10-24,Lyft,-22.39
2025-10-25,Home Depot,-102.78
2025-10-25,Movie Theater,-38.63
2025-10-25,Home Depot,-88.39
2025-10-25,Stock Dividend,125.5
2025-10-25,Bowling Alley,-47.43
2025-10-26,Walgreens,-33.96
2025-10-26,Movie Theater,-37.55
2025-10-26,Gym Membership,-52.09
2025-10-26,Parking Meter,-9.38
2025-10-26,Concert Tickets,-101.77
2025-10-26,Lowes,-178.02
2025-10-27,Amazon,-84.95
2025-10-27,Chevron,-54.66
2025-10-27,Costco,-248.51
2025-10-27,Steam Games,-66.66
2025-10-27,Netflix,-14.49
2025-10-27,Stock Dividend,125.5
2025-10-28,United Airlines,-406.38
2025-10-28,Dentist,-227.94
2025-10-28,Lyft,-17.39
2025-10-28,Investment Transfer,-576.38
2025-10-28,Hardware Store,-26.44
2025-10-29,Sushi Place,-38.63
2025-10-29,Freelance Client,1250.0
2025-10-29,Gym Membership,-50.05
2025-10-29,Freelance Client,1250.0
2025-10-29,Amazon,-74.38
2025-10-29,Uber,-20.35
2025-10-30,United Airlines,-523.31
2025-10-30,Tax Refund,850.0
2025-10-30,Tax Refund,850.0
2025-10-30,Enterprise Rent-A-Car,-161.19
2025-10-30,Walmart,-223.83
2025-10-30,Bowling Alley,-48.77
2025-10-30,Credit Card Payment,-1723.26
2025-10-31,Shell Gas Station,-51.87
2025-10-31,Walgreens,-26.04
2025-10-31,Credit Card Payment,-1374.62
2025-10-31,Home Depot,-75.43
2025-11-01,Doctor Office,-110.85
2025-11-01,Investment Transfer,-517.86
2025-11-01,Spotify,-10.24
2025-11-01,Sushi Place,-43.93
2025-11-01,Doctor Office,-139.84
2025-11-02,Bank Fee,-11.53
2025-11-02,Doctor Office,-132.97
2025-11-02,Parking Meter,-7.21
2025-11-02,Concert Tickets,-140.22
2025-11-02,Walmart,-280.76
2025-11-02,Parking Meter,-8.28
2025-11-02,Chevron,-54.52
2025-11-03,Employer Inc - Salary,8500.0
2025-11-03,Rent Payment,-2353.3
2025-11-03,Target,-187.34
2025-11-03,Enterprise Rent-A-Car,-182.56
2025-11-04,Tax Refund,850.0
2025-11-04,Rent Payment,-2475.08
2025-11-04,Credit Card Payment,-1573.64
2025-11-04,Uber,-27.48
2025-11-04,Bank Fee,-9.87
2025-11-04,Chevron,-58.35
2025-11-04,Doctor Office,-107.85
2025-11-04,Doctor Office,-128.5
2025-11-05,Concert Tickets,-100.99
2025-11-05,Home Depot,-98.35
2025-11-05,Movie Theater,-30.89
2025-11-05,Best Buy,-486.96
2025-11-05,Gym Membership,-37.85
2025-11-05,Apple Store,-31.26
2025-11-05,CVS Pharmacy,-27.63
2025-11-05,Netflix,-15.05
2025-11-06,Apple Store,-35.06
2025-11-06,Water Dept,-40.98
2025-11-06,Hardware Store,-23.41
2025-11-06,Lyft,-16.29
2025-11-06,Concert Tickets,-111.92
2025-11-07,Pizza Hut,-26.53
2025-11-07,Concert Tickets,-126.67
2025-11-07,Employer Inc - Salary,8500.0
2025-11-07,Chevron,-46.5
2025-11-08,McDonalds,-12.82
2025-11-08,Stock Dividend,125.5
2025-11-08,Hardware Store,-26.11
2025-11-08,Stock Dividend,125.5
2025-11-08,Gas Utility,-69.62
2025-11-08,Movie Theater,-34.94
2025-11-08,Gas Station (Trip),-50.24
2025-11-09,Stock Dividend,125.5
2025-11-09,Chevron,-61.85
2025-11-09,Freelance Client,1250.0
2025-11-09,Freelance Client,1250.0
2025-11-09,Steam Games,-52.0
2025-11-09,Credit Card Payment,-1274.97
2025-11-10,Tax Refund,850.0
2025-11-10,Stock Dividend,125.5
2025-11-10,Walmart,-255.86
2025-11-10,Costco,-273.69
2025-11-10,Bank Fee,-11.64
2025-11-10,Kroger,-106.83
2025-11-11,Bowling Alley,-38.22
2025-11-11,Doctor Office,-117.51
2025-11-11,Whole Foods Market,-154.6
2025-11-11,Bowling Alley,-41.21
2025-11-11,Nike Store,-130.72
2025-11-11,Uber,-22.73
2025-11-11,Credit Card Payment,-1410.13
2025-11-12,Enterprise Rent-A-Car,-179.45
2025-11-12,Amazon,-98.54
2025-11-12,Gas Station (Trip),-49.8
2025-11-12,Marriott Hotel,-306.08
2025-11-12,Auto Repair Shop,-378.99
2025-11-12,Credit Card Payment,-1619.54
2025-11-12,Amazon,-94.6
2025-11-13,Stock Dividend,125.5
2025-11-13,Best Buy,-494.81
2025-11-13,Stock Dividend,125.5
2025-11-13,CVS Pharmacy,-38.41
2025-11-14,Marriott Hotel,-307.83
2025-11-14,United Airlines,-507.93
2025-11-14,Rent Payment,-2247.12
2025-11-14,Enterprise Rent-A-Car,-176.62
2025-11-14,Freelance Client,1250.0
2025-11-15,Employer Inc - Salary,8500.0
2025-11-15,Chipotle,-15.35
2025-11-15,Hardware Store,-26.01
2025-11-15,Lyft,-19.23
2025-11-15,Stock Dividend,125.5
2025-11-16,Freelance Client,1250.0
2025-11-16,Parking Meter,-7.84
2025-11-16,Target,-142.05
2025-11-16,Credit Card Payment,-1435.27
2025-11-16,Dentist,-222.19
2025-11-16,Investment Transfer,-434.06
2025-11-16,Marriott Hotel,-317.92
2025-11-16,United Airlines,-520.4
2025-11-17,Target,-138.16
2025-11-17,CVS Pharmacy,-36.18
2025-11-17,Spotify,-11.62
2025-11-17,Movie Theater,-34.92
2025-11-17,Marriott Hotel,-381.47
2025-11-18,Enterprise Rent-A-Car,-154.61
2025-11-18,Netflix,-16.12
2025-11-18,Bank Fee,-13.33
2025-11-19,Tax Refund,850.0
2025-11-19,Walgreens,-30.02
2025-11-19,Gas Station (Trip),-43.35
2025-11-19,Hardware Store,-21.12
2025-11-19,Bowling Alley,-45.2
2025-11-20,Freelance Client,1250.0
2025-11-20,Water Dept,-50.36
2025-11-20,Gas Station (Trip),-47.13
2025-11-21,Best Buy,-571.65
2025-11-21,Gas Station (Trip),-40.79
2025-11-21,Gas Utility,-60.57
2025-11-21,Credit Card Payment,-1583.82
2025-11-21,Stock Dividend,125.5
2025-11-21,Whole Foods Market,-152.54
2025-11-22,Amazon,-99.5
2025-11-22,Steam Games,-62.52
2025-11-22,Local Restaurant,-62.78
2025-11-22,Costco,-214.51
2025-11-22,Bank Fee,-13.89
2025-11-23,Gas Utility,-69.89
2025-11-23,Uber,-27.92
2025-11-23,Local Restaurant,-57.08
2025-11-24,Apple Store,-26.74
2025-11-24,Walgreens,-23.67
2025-11-24,Lowes,-165.83
2025-11-24,Target,-134.83
2025-11-25,Safeway,-56.62
2025-11-25,Sushi Place,-45.34
2025-11-25,Gas Station (Trip),-57.4
2025-11-25,Apple Store,-33.54
2025-11-25,Stock Dividend,125.5
2025-11-26,Bowling Alley,-45.34
2025-11-26,Water Dept,-51.61
2025-11-26,United Airlines,-370.76
2025-11-26,Auto Repair Shop,-304.35
2025-11-26,Gas Utility,-68.75
2025-11-26,Investment Transfer,-402.7
2025-11-27,Amazon,-90.19
2025-11-27,United Airlines,-524.54
2025-11-27,Steam Games,-66.33
2025-11-27,Chevron,-56.6
2025-11-27,Whole Foods Market,-187.06
2025-11-27,Marriott Hotel,-375.11
2025-11-27,Movie Theater,-35.72
2025-11-28,Marriott Hotel,-382.94
2025-11-28,Stock Dividend,125.5
2025-11-28,Bank Fee,-13.92
2025-11-28,Enterprise Rent-A-Car,-224.0
2025-11-29,Lowes,-148.14
2025-11-29,Walgreens,-33.73
2025-11-29,Bank Fee,-14.04
2025-11-29,McDonalds,-11.0
2025-11-30,Home Depot,-97.87
2025-11-30,Credit Card Payment,-1578.63
2025-11-30,United Airlines,-536.88
2025-11-30,Best Buy,-592.44
2025-12-01,Enterprise Rent-A-Car,-197.39
2025-12-01,Sushi Place,-41.65
2025-12-01,Investment Transfer,-461.64
2025-12-01,Sushi Place,-51.21
2025-12-01,Gym Membership,-52.91
2025-12-02,Gym Membership,-39.26
2025-12-02,Spotify,-11.33
2025-12-02,Employer Inc - Salary,8500.0
2025-12-02,Bowling Alley,-50.59
2025-12-03,Freelance Client,1250.0
2025-12-03,CVS Pharmacy,-34.56
2025-12-03,Investment Transfer,-558.55
2025-12-03,Toll Pass,-13.53
2025-12-04,Gas Station (Trip),-50.86
2025-12-04,Rent Payment,-2691.14
2025-12-04,Water Dept,-38.12
2025-12-04,Target,-163.16
2025-12-04,Pizza Hut,-24.63
2025-12-04,Shell Gas Station,-47.64
2025-12-05,Employer Inc - Salary,8500.0
2025-12-05,Enterprise Rent-A-Car,-203.18
2025-12-05,Investment Transfer,-571.56
2025-12-05,Movie Theater,-35.89
2025-12-06,McDonalds,-12.23
2025-12-06,Pizza Hut,-25.97
2025-12-06,Kroger,-129.45
2025-12-06,Walgreens,-32.45
2025-12-06,Parking Meter,-8.69
2025-12-07,Auto Repair Shop,-334.32
2025-12-07,Tax Refund,850.0
2025-12-07,Starbucks,-5.75
2025-12-07,Safeway,-56.45
2025-12-07,Gym Membership,-47.83
2025-12-08,Marriott Hotel,-302.39
2025-12-08,Apple Store,-33.15
2025-12-08,Auto Repair Shop,-355.83
2025-12-08,Gas Utility,-67.92
2025-12-08,Amazon,-93.33
2025-12-09,CVS Pharmacy,-41.15
2025-12-09,Tax Refund,850.0
2025-12-09,Employer Inc - Salary,8500.0
2025-12-09,Bowling Alley,-46.7
2025-12-09,Freelance Client,1250.0
2025-12-10,Bowling Alley,-42.66
2025-12-10,Movie Theater,-35.28
2025-12-10,Water Dept,-37.32
2025-12-10,Gas Station (Trip),-53.18
2025-12-10,Doctor Office,-105.24
2025-12-11,Steam Games,-51.82
2025-12-11,Nike Store,-133.18
2025-12-11,Toll Pass,-17.79
2025-12-11,Starbucks,-5.77
2025-12-11,United Airlines,-371.28
2025-12-11,Dentist,-278.89
2025-12-12,Freelance Client,1250.0
2025-12-12,Doctor Office,-102.93
2025-12-12,Walgreens,-24.79
2025-12-12,Gas Station (Trip),-49.83
2025-12-13,Chipotle,-16.97
2025-12-13,Employer Inc - Salary,8500.0
2025-12-13,Shell Gas Station,-53.96
2025-12-13,Movie Theater,-31.55
2025-12-13,Stock Dividend,125.5
2025-12-13,Uber,-24.5
2025-12-14,Target,-125.57
2025-12-14,Chipotle,-17.45
2025-12-14,Home Depot,-77.7
2025-12-15,Hardware Store,-24.04
2025-12-15,Sushi Place,-50.49
2025-12-15,Kroger,-104.57
2025-12-16,Stock Dividend,125.5
2025-12-16,Steam Games,-62.02
2025-12-16,Movie Theater,-37.53
2025-12-17,United Airlines,-501.07
2025-12-17,Doctor Office,-147.48
2025-12-17,Employer Inc - Salary,8500.0
2025-12-17,Employer Inc - Salary,8500.0
2025-12-18,Netflix,-15.21
2025-12-18,Nike Store,-103.46
2025-12-18,Best Buy,-409.4
2025-12-18,Gas Station (Trip),-55.96
2025-12-19,Gym Membership,-51.6
2025-12-19,CVS Pharmacy,-38.28
2025-12-19,Bowling Alley,-42.44
2025-12-19,Chipotle,-16.65
2025-12-20,Nike Store,-117.39
2025-12-20,Home Depot,-72.37
2025-12-20,Starbucks,-4.93
2025-12-20,Whole Foods Market,-129.48
2025-12-20,Parking Meter,-8.97
2025-12-20,Uber,-27.14
2025-12-21,Marriott Hotel,-260.86
2025-12-21,Toll Pass,-16.41
2025-12-21,Bowling Alley,-53.85
2025-12-21,Rent Payment,-2685.66
2025-12-21,Water Dept,-42.38
2025-12-21,Water Dept,-39.14
2025-12-21,Dentist,-261.37
2025-12-21,United Airlines,-463.68
2025-12-22,Gas Station (Trip),-49.48
2025-12-22,Steam Games,-55.4
2025-12-22,Auto Repair Shop,-317.36
2025-12-22,Shell Gas Station,-37.75
2025-12-23,Enterprise Rent-A-Car,-158.74
2025-12-23,Whole Foods Market,-139.18
2025-12-23,Starbucks,-6.14
2025-12-23,Parking Meter,-8.34
2025-12-23,Enterprise Rent-A-Car,-224.67
2025-12-24,Nike Store,-133.89
2025-12-24,Costco,-261.14
2025-12-24,Marriott Hotel,-315.88
2025-12-24,Walgreens,-30.03
2025-12-24,Walmart,-241.13
2025-12-24,United Airlines,-507.76
2025-12-24,Chevron,-46.54
2025-12-25,Electric Company,-121.52
2025-12-25,Walmart,-215.3
2025-12-25,Sushi Place,-41.46
2025-12-25,Kroger,-139.25
2025-12-26,Doctor Office,-143.54
2025-12-26,Investment Transfer,-493.89
2025-12-26,Movie Theater,-27.89
2025-12-27,McDonalds,-12.32
2025-12-27,Spotify,-10.32
2025-12-27,Credit Card Payment,-1650.78
2025-12-27,Concert Tickets,-117.91
2025-12-27,Walmart,-218.56
2025-12-27,Local Restaurant,-60.27
2025-12-27,Costco,-227.1
2025-12-27,Home Depot,-76.66
2025-12-28,Enterprise Rent-A-Car,-165.23
2025-12-28,Marriott Hotel,-270.01
2025-12-28,Investment Transfer,-538.58
2025-12-28,Credit Card Payment,-1554.45
2025-12-28,Trader Joes,-86.94
2025-12-28,Spotify,-9.8
2025-12-28,Best Buy,-519.75
2025-12-29,Lyft,-17.9
2025-12-29,Lyft,-22.13
2025-12-29,Home Depot,-97.27
2025-12-29,Spotify,-8.72
2025-12-30,Auto Repair Shop,-356.13
2025-12-30,Kroger,-140.72
2025-12-30,Netflix,-18.51
2025-12-31,Lowes,-165.52
2025-12-31,Employer Inc - Salary,8500.0
2025-12-31,Gas Utility,-56.41
2025-12-31,Hardware Store,-24.42
2025-12-31,Gym Membership,-39.34
2025-12-31,Gas Station (Trip),-50.1
2025-12-31,Kroger,-127.55
2025-12-31,Employer Inc - Salary,8500.0
2026-01-01,Uber,-22.31
2026-01-01,Bank Fee,-10.27
2026-01-01,Credit Card Payment,-1742.84
2026-01-01,Auto Repair Shop,-336.83
2026-01-01,Starbucks,-4.98
2026-01-02,Shell Gas Station,-40.53
2026-01-02,Marriott Hotel,-359.46
2026-01-02,Bowling Alley,-38.17
2026-01-03,Stock Dividend,125.5
2026-01-03,Marriott Hotel,-324.9
2026-01-03,Employer Inc - Salary,8500.0
2026-01-04,Bowling Alley,-52.79
2026-01-04,Stock Dividend,125.5
2026-01-04,Nike Store,-147.32
2026-01-04,Uber,-26.24
2026-01-05,United Airlines,-478.15
2026-01-05,Trader Joes,-85.6
2026-01-05,Lyft,-20.33
